index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2018-01-02 16:00:00-05:00,151.38,151.41,151.32,151.34,1472461.0,231.0,151.4,2018-01-02 16:00:00-05:00,2018-01-02,16:00:00,960,16
2018-01-03 16:00:00-05:00,152.86,152.95,152.83,152.91,1206815.0,211.0,152.88,2018-01-03 16:00:00-05:00,2018-01-03,16:00:00,960,16
2018-01-04 16:00:00-05:00,153.15,153.18,153.11,153.18,511349.0,164.0,153.15,2018-01-04 16:00:00-05:00,2018-01-04,16:00:00,960,16
2018-01-05 16:00:00-05:00,154.65,154.71,154.61,154.71,947236.0,347.0,154.68,2018-01-05 16:00:00-05:00,2018-01-05,16:00:00,960,16
2018-01-08 16:00:00-05:00,155.23,155.29,155.23,155.29,849335.0,103.0,155.28,2018-01-08 16:00:00-05:00,2018-01-08,16:00:00,960,16
2018-01-09 16:00:00-05:00,155.32,155.32,155.27,155.3,345664.0,136.0,155.3,2018-01-09 16:00:00-05:00,2018-01-09,16:00:00,960,16
2018-01-10 16:00:00-05:00,154.92,154.96,154.88,154.96,472449.0,198.0,154.93,2018-01-10 16:00:00-05:00,2018-01-10,16:00:00,960,16
2018-01-11 16:00:00-05:00,155.98,156.05,155.95,156.04,609022.0,215.0,155.99,2018-01-11 16:00:00-05:00,2018-01-11,16:00:00,960,16
2018-01-12 16:00:00-05:00,157.12,157.25,157.11,157.25,1933825.0,190.0,156.66,2018-01-12 16:00:00-05:00,2018-01-12,16:00:00,960,16
2018-01-16 16:00:00-05:00,156.65,156.85,156.64,156.85,458404.0,221.0,156.7,2018-01-16 16:00:00-05:00,2018-01-16,16:00:00,960,16
2018-01-17 16:00:00-05:00,158.38,158.43,158.36,158.4,1660245.0,136.0,158.38,2018-01-17 16:00:00-05:00,2018-01-17,16:00:00,960,16
2018-01-18 16:00:00-05:00,158.4,158.52,158.38,158.52,286291.0,70.0,158.41,2018-01-18 16:00:00-05:00,2018-01-18,16:00:00,960,16
2018-01-19 16:00:00-05:00,158.91,159.04,158.88,159.04,401908.0,123.0,158.91,2018-01-19 16:00:00-05:00,2018-01-19,16:00:00,960,16
2018-01-22 16:00:00-05:00,160.59,160.74,160.58,160.7,650590.0,189.0,160.61,2018-01-22 16:00:00-05:00,2018-01-22,16:00:00,960,16
2018-01-23 16:00:00-05:00,161.92,161.95,161.9,161.91,989874.0,285.0,161.93,2018-01-23 16:00:00-05:00,2018-01-23,16:00:00,960,16
2018-01-24 16:00:00-05:00,160.91,160.93,160.83,160.87,557126.0,291.0,160.88,2018-01-24 16:00:00-05:00,2018-01-24,16:00:00,960,16
2018-01-25 16:00:00-05:00,160.83,160.88,160.78,160.88,116139.0,59.0,160.83,2018-01-25 16:00:00-05:00,2018-01-25,16:00:00,960,16
2018-01-26 16:00:00-05:00,163.23,163.31,163.13,163.31,982063.0,347.0,163.28,2018-01-26 16:00:00-05:00,2018-01-26,16:00:00,960,16
2018-01-29 16:00:00-05:00,162.49,162.62,162.44,162.55,239959.0,250.0,162.52,2018-01-29 16:00:00-05:00,2018-01-29,16:00:00,960,16
2018-01-30 16:00:00-05:00,161.17,161.41,161.16,161.41,451090.0,275.0,161.19,2018-01-30 16:00:00-05:00,2018-01-30,16:00:00,960,16
2018-01-31 16:00:00-05:00,161.76,161.85,161.68,161.68,689163.0,371.0,161.82,2018-01-31 16:00:00-05:00,2018-01-31,16:00:00,960,16
2018-02-01 16:00:00-05:00,160.46,160.58,160.44,160.58,2269171.0,195.0,160.46,2018-02-01 16:00:00-05:00,2018-02-01,16:00:00,960,16
2018-02-02 16:00:00-05:00,157.2,157.3,157.2,157.24,1052704.0,352.0,157.25,2018-02-02 16:00:00-05:00,2018-02-02,16:00:00,960,16
2018-02-05 16:00:00-05:00,151.06,151.42,150.39,150.77,2181951.0,1287.0,150.98,2018-02-05 16:00:00-05:00,2018-02-05,16:00:00,960,16
2018-02-06 16:00:00-05:00,155.06,155.14,154.85,155.1,665909.0,527.0,155.04,2018-02-06 16:00:00-05:00,2018-02-06,16:00:00,960,16
2018-02-07 16:00:00-05:00,153.04,153.18,153.01,153.15,622958.0,360.0,153.06,2018-02-07 16:00:00-05:00,2018-02-07,16:00:00,960,16
2018-02-08 16:00:00-05:00,146.65,147.43,146.59,147.4,1944826.0,1098.0,146.64,2018-02-08 16:00:00-05:00,2018-02-08,16:00:00,960,16
2018-02-09 16:00:00-05:00,149.17,149.33,148.97,149.28,1108264.0,666.0,149.13,2018-02-09 16:00:00-05:00,2018-02-09,16:00:00,960,16
2018-02-12 16:00:00-05:00,151.8,151.83,151.51,151.68,1594645.0,614.0,151.76,2018-02-12 16:00:00-05:00,2018-02-12,16:00:00,960,16
2018-02-13 16:00:00-05:00,152.53,152.55,152.36,152.41,573999.0,303.0,152.54,2018-02-13 16:00:00-05:00,2018-02-13,16:00:00,960,16
2018-02-14 16:00:00-05:00,155.44,155.45,155.28,155.36,1254242.0,448.0,155.41,2018-02-14 16:00:00-05:00,2018-02-14,16:00:00,960,16
2018-02-15 16:00:00-05:00,158.26,158.36,158.13,158.36,1046877.0,695.0,158.29,2018-02-15 16:00:00-05:00,2018-02-15,16:00:00,960,16
2018-02-16 16:00:00-05:00,157.67,157.76,157.59,157.68,699528.0,282.0,157.61,2018-02-16 16:00:00-05:00,2018-02-16,16:00:00,960,16
2018-02-20 16:00:00-05:00,157.85,157.9,157.82,157.84,3476237.0,244.0,157.9,2018-02-20 16:00:00-05:00,2018-02-20,16:00:00,960,16
2018-02-21 16:00:00-05:00,157.37,157.46,156.96,156.97,642223.0,919.0,157.34,2018-02-21 16:00:00-05:00,2018-02-21,16:00:00,960,16
2018-02-22 16:00:00-05:00,157.5,157.67,157.44,157.65,308523.0,302.0,157.46,2018-02-22 16:00:00-05:00,2018-02-22,16:00:00,960,16
2018-02-23 16:00:00-05:00,160.62,160.66,160.44,160.45,1528156.0,576.0,160.64,2018-02-23 16:00:00-05:00,2018-02-23,16:00:00,960,16
2018-02-26 16:00:00-05:00,162.73,162.79,162.69,162.73,1581980.0,213.0,162.78,2018-02-26 16:00:00-05:00,2018-02-26,16:00:00,960,16
2018-02-27 16:00:00-05:00,160.7,160.86,160.69,160.81,781737.0,448.0,160.77,2018-02-27 16:00:00-05:00,2018-02-27,16:00:00,960,16
2018-02-28 16:00:00-05:00,159.66,159.84,159.63,159.73,1150795.0,605.0,159.74,2018-02-28 16:00:00-05:00,2018-02-28,16:00:00,960,16
2018-03-01 16:00:00-05:00,157.2,157.25,157.13,157.22,8133222.0,395.0,157.13,2018-03-01 16:00:00-05:00,2018-03-01,16:00:00,960,16
2018-03-02 16:00:00-05:00,158.56,158.57,158.44,158.51,2809424.0,437.0,158.57,2018-03-02 16:00:00-05:00,2018-03-02,16:00:00,960,16
2018-03-05 16:00:00-05:00,160.28,160.33,160.23,160.24,1112507.0,201.0,160.33,2018-03-05 16:00:00-05:00,2018-03-05,16:00:00,960,16
2018-03-06 16:00:00-05:00,161.0,161.04,160.9,161.0,811619.0,325.0,161.0,2018-03-06 16:00:00-05:00,2018-03-06,16:00:00,960,16
2018-03-07 16:00:00-05:00,161.35,161.38,161.31,161.36,446196.0,276.0,161.37,2018-03-07 16:00:00-05:00,2018-03-07,16:00:00,960,16
2018-03-08 16:00:00-05:00,162.25,162.31,162.21,162.3,564350.0,214.0,162.27,2018-03-08 16:00:00-05:00,2018-03-08,16:00:00,960,16
2018-03-09 16:00:00-05:00,165.35,165.42,165.17,165.32,1901877.0,588.0,165.4,2018-03-09 16:00:00-05:00,2018-03-09,16:00:00,960,16
2018-03-12 16:00:00-04:00,166.09,166.3,166.09,166.19,1804039.0,245.0,166.3,2018-03-12 16:00:00-04:00,2018-03-12,16:00:00,960,16
2018-03-13 16:00:00-04:00,164.1,164.23,164.04,164.2,1053251.0,323.0,164.05,2018-03-13 16:00:00-04:00,2018-03-13,16:00:00,960,16
2018-03-14 16:00:00-04:00,164.01,164.03,163.87,163.92,3335075.0,193.0,164.01,2018-03-14 16:00:00-04:00,2018-03-14,16:00:00,960,16
2018-03-15 16:00:00-04:00,163.78,163.95,163.76,163.95,677142.0,460.0,163.87,2018-03-15 16:00:00-04:00,2018-03-15,16:00:00,960,16
2018-03-16 16:00:00-04:00,163.41,163.48,163.38,163.45,505127.0,564.0,163.41,2018-03-16 16:00:00-04:00,2018-03-16,16:00:00,960,16
2018-03-19 16:00:00-04:00,159.95,160.07,159.9,160.04,1503007.0,500.0,159.91,2018-03-19 16:00:00-04:00,2018-03-19,16:00:00,960,16
2018-03-20 16:00:00-04:00,160.38,160.49,160.33,160.49,726846.0,216.0,160.42,2018-03-20 16:00:00-04:00,2018-03-20,16:00:00,960,16
2018-03-21 16:00:00-04:00,159.68,159.74,159.64,159.67,663615.0,301.0,160.15,2018-03-21 16:00:00-04:00,2018-03-21,16:00:00,960,16
2018-03-22 16:00:00-04:00,155.68,155.94,155.58,155.66,2005834.0,973.0,155.79,2018-03-22 16:00:00-04:00,2018-03-22,16:00:00,960,16
